3005478475W18|04969512|SOCAMOUSSON||00406357|UNKNOWN||0|10033622|10033631
3005478580W16|06064828|SCHLUMBERGER||81123743|KENTMETERS||0|10034350|10034359
3005478629W13|13M216753|KENTMETERS||00134484|UNKNOWN||0|13755162|10034426
3005478718W17|00128477|UNKNOWN||12LU001748|SCHLUMBERGER||0|10034501|13491134
3005478742W19|02039771|PONTAMOUSSON||14BU049394|ACTARIS||0|10035139|13905105
3005479986W14|14KC117168|ACTARIS||01572227|PONTAMOUSSON||0|13908951|10035154
3005480062W19|14KC014656|ACTARIS||06800508|SCHLUMBERGER||0|13799456|10035284
3005480070W16|05090491|SCHLUMBERGER||11034223|ACTARIS||0|10035295|13403912
3005480097W10|07599125|SCHLUMBERGER||07007078|SCHLUMBERGER||0|10035305|10035309
3005480186W14|05874374|SOCAMOUSSON||00010013|KENTMETERS||0|10036052|14241255
3005480216W14|97941149|KENTMETERS||13MA145167|ACTARIS||0|10036085|13695326
3005480259W13|00013666|KENTMETERS||04053584|SOCAMOUSSON||0|10036120|10036730
3005480259W13|00013666|KENTMETERS||00010852.|KENTMETERS||0|10036120|14236771
3005480313W15|99385592|KENTMETERS||83150302|KENTMETERS||0|10036774|10037881
3005481816W14|12BU046011|SCHLUMBERGER||12046012|SCHLUMBERGER||0|13482609|13563132
3005481913W15|05681680|SOCAMOUSSON||14BU031442|ACTARIS||0|10037092|13856141
3005481913W15|05681680|SOCAMOUSSON||83214321|KENTMETERS||0|10037092|10037100
3005481956W14|07017978|SCHLUMBERGER||97439968|KENTMETERS||0|10037748|10037751
3005482014W11|02120875A|KENTMETERS||07041002|SCHLUMBERGER||0|10037871|10037877
3005482049W13|15JC027304|ACTARIS||14MA025327|ACTARIS||0|14147945|13794840
3005483495W18|10050123|SCHLUMBERGER||85223034|KENTMETERS||0|13308646|10039385
3005483517W10|14JB010771|ACTARIS||01219703|KENTMETERS||0|13836534|10039444
3005483541W12|04118748|KENTMETERS||01607802|SOCAMOUSSON||0|10039461|10039466
3005515273W15|05803235|SCHLUMBERGER||16MA045460|ACTARIS||0|10009087|14206929
3005634345W18|11KC057109|ACTARIS||11090574|ACTARIS||0|13433329|13405097
3005634345W18|11KC057109|ACTARIS||01989515|SOCAMOUSSON||0|13433329|10682444
3005708772W19|71056370|KENTMETERS||12JB002265|ACTARIS||0|10500370|13456818
3005749614W11|05227505|PONTAMOUSSON||02187794|SOCAMOUSSON||0|10665965|10160601
3005803600W16|83117527|KENTMETERS||00006106|UNKNOWN||0|10003736|10003741
3005804690W16|00306041|UNKNOWN||01242590|PONTAMOUSSON||0|10004551|10004566
3005804690W16|00306041|UNKNOWN||97548207|KENTMETERS||0|10004551|10004570
3005804739W13|80028825|KENTMETERS||08113288|KENTMETERS||0|10004583|10004587
3005804747W10|13JC129119|SCHLUMBERGER||04849335|SOCAMOUSSON||0|13851937|10004609
3005804747W10|13JC129119|SCHLUMBERGER||04022565|SCHLUMBERGER||0|13851937|10004604
3005804798W17|15BU026699|SCHLUMBERGER||07015770|SCHLUMBERGER||0|14072831|10004662
3005804933W15|15JB047403|ACTARIS||01981551|PONTAMOUSSON||0|14245468|10005407
300580500XW1X|05827759|SCHLUMBERGER||00222852A|UNKNOWN||0|10005464|10005469
3005806022W19|14KC096472|ACTARIS||14BU064643|SCHLUMBERGER||0|13891351|13963003
3005806049W13|09207756|SCHLUMBERGER||01015515|SCHLUMBERGER||0|10005520|10006124
3005806065W18|83026209|KENTMETERS||05070848|SOCAMOUSSON||0|10006134|10006139
3005806138W17|00392187|KENTMETERS||85206853|KENTMETERS||0|10006199|10008957
3005806227W10|01571778|SOCAMOUSSON||05449217|SOCAMOUSSON||0|10006299|10006308
3005806227W10|01571778|SOCAMOUSSON||83146510|KENTMETERS||0|10006299|10006316
3005806227W10|01571778|SOCAMOUSSON||84123310|KENTMETERS||0|10006299|10006925
3005806227W10|01571778|SOCAMOUSSON||99250654|KENTMETERS||0|10006299|10008965
3005806332W19|82304288|KENTMETERS||08005902|SCHLUMBERGER||0|10006972|10006976
3005806383W15|16MU077459|ACTARIS||15BU071035|SCHLUMBERGER||0||14123894
3005807355W18|11018520|ACTARIS||09031752|SCHLUMBERGER||0|13360209|10007080
3005807398W17|04114142|SOCAMOUSSON||83103624|KENTMETERS||0|10007113|10007117
3005807428W17|11QT00350|KENTMETERS||01900015|PONTAMOUSSON||0|13916506|10007555
3005807428W17|11QT00350|KENTMETERS||02211207|KENTMETERS||0|13916506|10007559
3005807452W19|04114126|SOCAMOUSSON||03445002|SOCAMOUSSON||0|10007571|10007575
3005807479W13|06064923|KENTMETERS||01750236|SOCAMOUSSON||0|10007580|10007584
3005807509W13|14JB010878|ACTARIS||04141557|SOCAMOUSSON||0|14109732|10009057
3005807525W18|15JX007189|ACTARIS||03013574|SCHLUMBERGER||0|14221829|10007658
3005807541W12|00012249|KENTMETERS||00011739|KENTMETERS||0|10007673|10007678
3005807584W11|99814316|KENTMETERS||00020364|KENTMETERS||0|10007705|10007712
3005807584W11|99814316|KENTMETERS||04118734|KENTMETERS||0|10007705|10007708
3005807622W19|05A166750|KENTMETERS||97553968|SCHLUMBERGER||0|10008333|10008338
3005807703W15|01517565|SOCAMOUSSON||00016924|KENTMETERS||0|10008413|10008418
300580772XW1X|92060157|KENTMETERS||13MA162871|ACTARIS||0|10008423|13747438
3005807789W13|14JB021532|ACTARIS||03445989|SOCAMOUSSON||0|13889493|10008474
3005959023W15|72208411|KENTMETERS||98813185|KENTMETERS||0|10029439|10037787
3005965341W12|14JU000975|SCHLUMBERGER||055148911|KENTMETERS||0|13863129|10514343
3005965341W12|14JU000975|SCHLUMBERGER||04019764A|SCHLUMBERGER||0|13863129|10515193
3006068858W17|09207714B|SCHLUMBERGER||98301546|KENTMETERS||0|10500227|10500724
3006077229W13|02183126|SCHLUMBERGER||03000839|SCHLUMBERGER||0|10499807|10499879
3006322681W12|13KC108859|ACTARIS||80230750|KENTMETERS||0|13834263|10009119
300633843XW1X|04112077|SOCAMOUSSON||04062510|SOCAMOUSSON||0|10019997|10020001
3006339754W11|07017575|KENTMETERS||10047120|ACTARIS||0|10311878|13250596
3006384415W18|03HC087912|SCHLUMBERGER||12MA214198|ACTARIS||0|10123914|13544707
3006619935W18|96002497|KENTMETERS||96001506|KENTMETERS||0|10008976|10008981
3006700686W14|14JB066659|ACTARIS||83289299|KENTMETERS||0|13956215|14202446
3006704835W18|99807087|KENTMETERS||00529713|NEPTUNE||0|10019993|10019999
3006763262W19|14XI001609|ACTARIS||98350899|KENTMETERS||0|13815366|10180524
3006773071W12|12KE031581|ACTARIS||01990576|PONTAMOUSSON||0|13498980|10031627
3006782208W17|09164800|SCHLUMBERGER||00020428|KENTMETERS||0|10021363|10021368
300678622XW1X|01601108|SOCAMOUSSON||01571281|PONTAMOUSSON||0|10016743|10016748
3006789954W11|80211505|KENTMETERS||00054432|UNKNOWN||0|10018449|10018453
3006790731W12|00680742|SOCAMOUSSON||00185458|KENTMETERS||0|10016829|10016846
3006790731W12|00680742|SOCAMOUSSON||05199526|PONTAMOUSSON||0|10016829|10016834
3006790731W12|00680742|SOCAMOUSSON||00185470|KENTMETERS||0|10016829|10016842
3006791037W10|11LU030776|UNKNOWN||15MA164976|ACTARIS||0|14089182|14083492
