703047771|||1STW-MW959|MPW|Y|Special agreement|SVTPOT117||0
152003813|||1STW-MW851|MPW|Y|Special agreement|SVTPOT47||0
831057790|||1STW-MW836|MPW|Y|Special agreement|SVTPOT35||0
831057415|||1STW-MW829|MPW|Y|Special agreement|SVTPOT29||0
703017727|||1STW-MW967|MPW|Y|Special agreement|SVTPOT124||0
831197298|||1STW-MW938|MPW|Y|Special agreement|SVTPOT97||0
510087237|||1STW-MW961|MPW|Y|Special agreement|SVTPOT119||0
534002262|||1STW-MW815|MPW|Y|Special agreement|SVTPOT18||0
602002293|||1STW-MW892|MPW|Y|Special agreement|SVTPOT63||0
447002681|||1STW-MW831|MPW|Y|Special agreement|SVTPOT31||0
881002480|||1STW-MW893|MPW|Y|Special agreement|SVTPOT64||0
583025397|||1STW-MW833|MPW|Y|Special agreement|SVTPOT33||0
831058671|||1STW-MW938|MPW|Y|Special agreement|SVTPOT97||0
152026816|||1STW-MS820|MS|Y|Special agreement|SVTSEW2||0
583025384|||1STW-MW900|MPW|Y|Special agreement|SVTPOT68||0
385088294|||1STW-MW914|MPW|Y|Special agreement|SVTPOT75||0
385021897|||1STW-MW830|MPW|Y|Special agreement|SVTPOT30||0
831003227|||1STW-MW858|MPW|Y|Special agreement|SVTPOT50||0
599002833|743002029||1STW-TWU11|TE|Y|Special agreement|SVTTE 4||0
763002012|7913002008||1STW-TWU04|TE|Y|Special agreement|SVTTE 3||0
487002436|344009559||1STW-TWU03|TE|Y|Special agreement|SVTTE 2||0
