WESSEX-R|WESSEX-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Wessex Water Services Limited
CLEARBUS-R|CLEARBUS-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Clear Business Water Limited
DWRCYMRU-W|DWRCYMRU-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Dwr Cymru Cyfyngedig
DWRCYMRU-R|DWRCYMRU-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Dwr Cymru Cyfyngedig
SEVERN-W|SEVERN-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Severn Trent Water Limited
SEVERN-R|SEVERN-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Severn Trent Water Limited
SOUTHSTAFF-W|SOUTHSTAFF-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||South Staffordshire Water Plc
SOUTHSTAFF-R|SOUTHSTAFF-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||South Staffordshire Water Plc
AIMERA-R|AIMERA-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Aimera Limited 
CHOLDERTON-W|CHOLDERTON-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Cholderton and District Water Company Limited
CHOLDERTON-R|CHOLDERTON-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Cholderton and District Water Company Limited
COMMERCIAL-R|COMMERCIAL-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Commercial Water Solutions Limited 
DEEVALLEY-W|DEEVALLEY-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Dee Valley Water plc 
DEEVALLEY-R|DEEVALLEY-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Dee Valley Water plc 
EVERFLOW-R|EVERFLOW-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Everflow Limited
INDWATER-W|INDWATER-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Independent Water Networks Ltd (Cardiff)
INDWATER-R|INDWATER-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Independent Water Networks Ltd (Cardiff)
KELDA-R|KELDA-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Kelda Water Services (Retail) Limited 
REALWATER-R|REALWATER-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Real Water Edinburgh Limited
SOURCE-R|SOURCE-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Source for Business Limited (part of SW Water)
SSE-W|SSE-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||SSE Water Ltd
SSE-R|SSE-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||SSE Water Ltd
WATER2BUS-R|WATER2BUS-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Water 2 Business Ltd 
