14XH121199|SCHLUMBERGER|03018000601|0.00|14090870
14XH121199|SCHLUMBERGER|03018000605|0.00|14090870
15JC041885|ACTARIS|10402003400|0.00|14090906
15BU090702|ACTARIS|03003022101|0.00|14101672
151010085015|UNKNOWN|15101008501|0.00|
151010085016|UNKNOWN|15101008501|0.00|
11013385|UNKNOWN|15101017501|100.00|
151010276011|UNKNOWN|15101027601|100.00|
151010277013|UNKNOWN|15101027701|100.00|
151010405014|UNKNOWN|15101040501|0.00|
151010425012|UNKNOWN|15101042501|100.00|
151010456011|UNKNOWN|15101045601|0.00|
151010456012|UNKNOWN|15101045601|100.00|
151110032012|UNKNOWN|15111003201|0.00|
151110032013|UNKNOWN|15111003201|100.00|
151110032014|UNKNOWN|15111003201|0.00|
151110033011|UNKNOWN|15111003301|100.00|
151110034011|UNKNOWN|15111003401|100.00|
151110039012|UNKNOWN|15111003901|100.00|
151120060011|UNKNOWN|15112006001|100.00|
151120060012|UNKNOWN|15112006001|0.00|
151120060015|UNKNOWN|15112006001|100.00|
151270014014|UNKNOWN|15127001401|100.00|
151270105013|UNKNOWN|15127010501|100.00|
151270119011|UNKNOWN|15127011901|100.00|
14KC059605|ACTARIS|10702000901|0.00|
14KC059605|ACTARIS|10702000902|0.00|
1520200250110|UNKNOWN|15202002501|0.00|
1520200250111|UNKNOWN|15202002501|0.00|
112040074011|UNKNOWN|11204007401|100.00|
112040110012|UNKNOWN|11204011001|100.00|
112040121014|UNKNOWN|11204012101|0.00|
112040126012|UNKNOWN|11204012601|100.00|
112040131051|UNKNOWN|11204013105|100.00|
112040131054|UNKNOWN|11204013105|0.00|
112040131055|UNKNOWN|11204013105|0.00|
112040131056|UNKNOWN|11204013105|0.00|
112040131057|UNKNOWN|11204013105|0.00|
4981829|UNKNOWN|11204016702|100.00|
112040167022|UNKNOWN|11204016702|100.00|
21485|UNKNOWN|11204020602|100.00|
112040213012|UNKNOWN|11204021301|100.00|
112040217012|UNKNOWN|11204021701|100.00|
112040217013|UNKNOWN|11204021701|0.00|
112040242012|UNKNOWN|11204024201|100.00|
112040260011|UNKNOWN|11204026001|100.00|
112040267011|UNKNOWN|11204026701|100.00|
112040267014|UNKNOWN|11204026701|100.00|
112040267015|UNKNOWN|11204026701|100.00|
112040344011|UNKNOWN|11204034401|100.00|
112040347012|UNKNOWN|11204034701|100.00|
112040348012|UNKNOWN|11204034801|100.00|
112040349012|UNKNOWN|11204034901|100.00|
112040349013|UNKNOWN|11204034901|0.00|
112040350012|UNKNOWN|11204035001|100.00|
112040352011|UNKNOWN|11204035201|100.00|
112040352012|UNKNOWN|11204035201|100.00|
112040352013|UNKNOWN|11204035201|100.00|
112040352014|UNKNOWN|11204035201|100.00|
112040352015|UNKNOWN|11204035201|100.00|
51920666013|UNKNOWN|05192066601|0.00|
51920666014|UNKNOWN|05192066601|100.00|
51920669011|UNKNOWN|05192066901|100.00|
51920669012|UNKNOWN|05192066901|100.00|
11037597|UNKNOWN|05192067401|100.00|
51920678011|UNKNOWN|05192067801|0.00|
51930217002|UNKNOWN|05193021700|100.00|
51930250002|UNKNOWN|05193025000|100.00|
51930254002|UNKNOWN|05193025400|100.00|
51930256002|UNKNOWN|05193025600|100.00|
13XH061151|UNKNOWN|05193029700|0.00|
51930297002|UNKNOWN|05193029700|100.00|
51930298002|UNKNOWN|05193029800|0.00|
51930298003|UNKNOWN|05193029800|100.00|
51930302004|UNKNOWN|05193030200|0.00|
51930578001|UNKNOWN|05193057800|100.00|
51930603001|UNKNOWN|05193060300|100.00|
51930665012|UNKNOWN|05193066501|100.00|
51930672013|UNKNOWN|05193067201|100.00|
51930676012|UNKNOWN|05193067601|100.00|
51930676013|UNKNOWN|05193067601|100.00|
51930676014|UNKNOWN|05193067601|100.00|
51930681012|UNKNOWN|05193068101|100.00|
00PD5402101|UNKNOWN|05193068501|100.00|
00PD501953|UNKNOWN|05193068501|100.00|
51930686012|UNKNOWN|05193068601|100.00|
519403380010|UNKNOWN|05194033800|0.00|
519403380012|UNKNOWN|05194033800|0.00|
519403380013|UNKNOWN|05194033800|0.00|
51940338002|UNKNOWN|05194033800|0.00|
51940338004|UNKNOWN|05194033800|100.00|
51940338006|UNKNOWN|05194033800|0.00|
51940338007|UNKNOWN|05194033800|0.00|
51940338008|UNKNOWN|05194033800|0.00|
51940380005|UNKNOWN|05194038000|0.00|
51940659012|UNKNOWN|05194065901|100.00|
51940662011|UNKNOWN|05194066201|0.00|
51940664011|UNKNOWN|05194066401|100.00|
51940665011|UNKNOWN|05194066501|100.00|
06130011|SCHLUMBERGER|10102100601|0.00|10025302
09243884|SCHLUMBERGER|15100047201|0.00|10014767
12JB011846|ACTARIS|15100045701|0.00|13551391
16XF027471|SCHLUMBERGER|07138000101|0.00|14187508
11019944|SCHLUMBERGER|02429043501|0.00|13333554
07061509|SCHLUMBERGER|02429079201|0.00|10010590
82178290|KENTMETERS|06548314201|0.00|10722849
96525023|KENTMETERS|05115019701|0.00|10727307
04232362|SOCAMOUSSON|03079026701|0.00|10661036
02520676|PONTAMOUSSON|06321827601|0.00|10866392
03011127|KENTMETERS|05291005900|0.00|10677414
03011127|KENTMETERS|05291005901|0.00|10677414
03011127|KENTMETERS|05293056300|0.00|10677414
13XF109664|SCHLUMBERGER|11204039401|0.00|13722729
