AS|ASTC|1STW-FS001|TBC by Tariff team|SOUTHSTAFF-W
MS|N/A|1STW-MS001|TBC by Tariff team|SOUTHSTAFF-W
MS|1STW-MD001|1STW-MS001|Mapped by SST STD|SOUTHSTAFF-W
MS|1STW-MD001|1STW-MS001|Mapped by SST STD|SOUTHSTAFF-W
MS|1STW-MD021|1STW-MS001|Mapped by SST Intermediate|SOUTHSTAFF-W
MS|1STW-MD031|1STW-MS001|Mapped by SST Large |SOUTHSTAFF-W
SWD|1STW-MDC01|1STW-MDC01|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC02|1STW-MDC02|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC03|1STW-MDC03|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC04|1STW-MDC04|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC05|1STW-MDC05|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC06|1STW-MDC06|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC07|1STW-MDC07|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC08|1STW-MDC08|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC09|1STW-MDC09|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC09|1STW-MDC09|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC10|1STW-MDC10|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC11|1STW-MDC11|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC12|1STW-MDC12|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC13|1STW-MDC13|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC14|1STW-MDC14|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC15|1STW-MDC15|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC16|1STW-MDC16|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC17|1STW-MDC17|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC18|1STW-MDC18|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC19|1STW-MDC19|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC20|1STW-MDC20|Mapped by SST|SOUTHSTAFF-W
SWD|1STW-MDC21|1STW-MDC21|Mapped by SST|SOUTHSTAFF-W
MS|1STW-MS001|1STW-MS001|Mapping provided by SST but no equivalent STW so defualted to MS001|SOUTHSTAFF-W
MS|1STW-MS021|1STW-MS001|Mapping provided by SST but no equivalent STW so defualted to MS001|SOUTHSTAFF-W
MS|1STW-MS031|1STW-MS001|Mapping provided by SST but no equivalent STW so defualted to MS001|SOUTHSTAFF-W
MS|1STW-MU001|1STW-MS001|Mapping provided by SST but no equivalent STW so defualted to MS001|SOUTHSTAFF-W
MS|1STW-MU021|1STW-MS001|Mapping provided by SST but no equivalent STW so defualted to MS001|SOUTHSTAFF-W
MS|1STW-MU031|1STW-MS001|Mapping provided by SST but no equivalent STW so defualted to MS001|SOUTHSTAFF-W
UMS|1STW-RVD01-ZON02|1STW-RVS02-ZON02|Unmeasured Sewerage NHH RV Zone 02 - Worcester/Gloucester (Lower Severn)|SOUTHSTAFF-W
UMS|1STW-RVD01-ZON03|1STW-RVS02-ZON03|Unmeasured Sewerage NHH RV Zone 03 - Coventry/North Warks (Avon)|SOUTHSTAFF-W
UMS|1STW-RVD01-ZON07|1STW-RVS02-ZON07|Unmeasured Sewerage NHH RV Zone 07 - Staffordshire (Upper Trent)|SOUTHSTAFF-W
UMS|1STW-RVD01-ZON08|1STW-RVS02-ZON08|Unmeasured Sewerage NHH RV Zone 08 - Birmingham (Tame)|SOUTHSTAFF-W
UMS|1STW-RVS01-ZON02|1STW-RVS01-ZON02|Unmeasured Sewerage NHH RV Zone 02 - Worcester/Gloucester (Lower Severn)|SOUTHSTAFF-W
UMS|1STW-RVS01-ZON03|1STW-RVS01-ZON03|Unmeasured Sewerage NHH RV Zone 03 - Coventry/North Warks (Avon)|SOUTHSTAFF-W
UMS|1STW-RVS01-ZON07|1STW-RVS01-ZON07|Unmeasured Sewerage NHH RV Zone 07 - Staffordshire (Upper Trent)|SOUTHSTAFF-W
UMS|1STW-RVS01-ZON08|1STW-RVS01-ZON08|Unmeasured Sewerage NHH RV Zone 08 - Birmingham (Tame)|SOUTHSTAFF-W
UMS|1STW-RVU01-ZON07|1STW-RVU01-ZON07|Unmeasured Used Water NHH RV Zone 07 - Staffordshire (Upper Trent)|SOUTHSTAFF-W
UMS|1STW-RVU01-ZON08|1STW-RVU01-ZON08|Unmeasured Used Water NHH RV Zone 08 - Birmingham (Tame)|SOUTHSTAFF-W
MS|SVA|1STW-MS001||SOUTHSTAFF-W
MS|SVC|1STW-MS001||SOUTHSTAFF-W
MS|SVF|1STW-MS001||SOUTHSTAFF-W
MS|SVFA|1STW-MS001||SOUTHSTAFF-W
MS|HDA|1STW-MS001|Not used |THAMES-W
AS|NHHA2|1STW-FS001|Not used and requires Assesed Volume to be supplied|THAMES-W
AS|NHHAS1|1STW-FS001|Not used and requires Assesed Volume to be supplied|THAMES-W
AS|NHHAS1|1STW-FS002|Not used and requires Assesed Volume to be supplied|THAMES-W
AS|NHHAS1|1STW-FS021|Not used and requires Assesed Volume to be supplied|THAMES-W
AS|NHHAS1|1STW-FS031|Not used and requires Assesed Volume to be supplied|THAMES-W
AS|NHHAS1|1STW-FSN01|Not used and requires Assesed Volume to be supplied|THAMES-W
