11111004601|111110046011|CONTAMINATED|B|7965
11111005001|111110050011|CONTAMINATED|B|1148
11204040901|112040409012|CONTAMINATED|B|463
11301004601|113010046015|CONTAMINATED|B|353
12404006701|124040067014|CONTAMINATED|B|496
12501005701|125010057015|CONTAMINATED|B|654
12615004101|126150041014|CONTAMINATED|B|3161
13331005401|133310054011|CONTAMINATED|B|15218
14111022401|141110224011|CONTAMINATED|B|206
14111025501|141110255011|CONTAMINATED|B|3246
14401003801|1440100380112|TANKERED|B|960
15100000601|151000006014|CONTAMINATED|B|342
15100008601|151000086015|TANKERED|B|2080
15100044801|151000448012|CONTAMINATED|B|1364
15100051201|151000512012|CONTAMINATED|B|1576
15101039901|151010399011|CONTAMINATED|B|1044
15111004101|151110041011|CONTAMINATED|B|1535
15202010301|152020103012|CONTAMINATED|B|181
15202011101|152020111011|ESTIMATED|B|916
15202011401|152020114012|CONTAMINATED|B|352
15203003201|152030032011|CONTAMINATED|B|1102
15555005301|155550053014|CONTAMINATED|B|12
01237005401|012370054013|CONTAMINATED|B|165
01345066401|013450664011|CONTAMINATED|B|389
01353066601|013530666013|CONTAMINATED|B|68
01353067101|013530671012|CONTAMINATED|B|738
01372018601|013720186011|CONTAMINATED|B|117
02110076501|021100765011|CONTAMINATED|B|91
02117094601|021170946011|CONTAMINATED|B|4222
02117094701|021170947011|CONTAMINATED|B|63
02163001401|021630014013|CONTAMINATED|B|638
02163078801|021630788016|CONTAMINATED|B|0
02424034202|024240342022|CONTAMINATED|B|338
03003004800|030030048004|CONTAMINATED|B|208
03003023301|030030233013|CONTAMINATED|B|2483
03051025701|030510257011|CONTAMINATED|B|483
03064009400|030640094005|CONTAMINATED|B|822
03064029501|030640295011|CONTAMINATED|B|249
03079006300|030790063003|CONTAMINATED|B|28
03079027101|030790271011|CONTAMINATED|B|1356
03800005901|038000059012|CONTAMINATED|B|4731
03807001100|038070011004|CONTAMINATED|B|448
03807050401|038070504013|CONTAMINATED|B|55
03810000101|038100001013|ESTIMATED|B|73
05012021602|050120216021|CONTAMINATED|B|72
05012022201|050120222011|CONTAMINATED|B|2683
05062009400|050620094001|CONTAMINATED|B|2146
05062014601|050620146013|CONTAMINATED|B|1022
05062015700|050620157004|CONTAMINATED|B|3650
05062017900|050620179003|CONTAMINATED|B|244
05062026401|050620264011|CONTAMINATED|B|10371
05062027901|050620279011|CONTAMINATED|B|620
05062030901|050620309011|CONTAMINATED|B|318
05062031001|050620310011|CONTAMINATED|B|42
05065004600|050650046001|TANKERED|B|171
05065024101|050650241011|CONTAMINATED|B|170
05076003801|050760038012|ESTIMATED|B|1050
05076009100|050760091003|CONTAMINATED|B|165
05090029301|050900293011|CONTAMINATED|B|0
05115000114|051150001141|CONTAMINATED|B|238
05115008705|051150087051|CONTAMINATED|B|904
05191060501|051910605013|ESTIMATED|B|33
05191060501|051910605011|CONTAMINATED|B|8646
05191060601|051910606011|CONTAMINATED|B|20
05192014901|051920149011|CONTAMINATED|B|1090
05192014902|051920149021|CONTAMINATED|B|2845
05192066301|051920663011|CONTAMINATED|B|1375
05192066501|051920665011|CONTAMINATED|B|2495
05192067701|051920677011|CONTAMINATED|B|396
05192067901|051920679011|CONTAMINATED|B|3515
05193066801|051930668011|CONTAMINATED|B|218
05293069100|052930691002|CONTAMINATED|B|7920
05293070101|052930701011|CONTAMINATED|B|7719
05920051901|059200519011|CONTAMINATED|B|10907
05923000301|059230003011|CONTAMINATED|B|792
06308108601|063081086013|CONTAMINATED|B|0
06321820801|063218208015|TANKERED|B|260
06336106501|063361065011|CONTAMINATED|B|2201
09025011101|090250111013|CONTAMINATED|B|288
09025021020|090250210202|ESTIMATED|B|623
09025026202|090250262021|CONTAMINATED|B|218
09025036501|090250365012|CONTAMINATED|B|2554
09058051501|090580515013|CONTAMINATED|B|612
09101001101|091010011014|CONTAMINATED|B|126
09101002401|091010024012|CONTAMINATED|B|252
09101002801|091010028013|CONTAMINATED|B|144
10102002300|101020023003|TANKERED|B|0
10102026800|1010202680010|ESTIMATED|B|1398
10102026800|101020268009|TANKERED|B|813
10102100101|101021001015|CONTAMINATED|B|5
10102103801|101021038011|CONTAMINATED|B|1202
10106002101|101060021011|CONTAMINATED|B|296
10313000601|103130006011|CONTAMINATED|B|225
10602091201|106020912011|CONTAMINATED|B|388
10705000901|107050009012|CONTAMINATED|B|186
