01211000101|Consent|8
01222064501|Consent|60
01222064601|Consent|5
01226009001|Consent|10
01226025501|Consent|180
01226025601|Consent|5
01226025701|Consent|5
01237005401|Consent|15
01237034801|Consent|3
01237035501|Consent|5
01237053601|Consent|17
01237054001|Consent|10
01237054101|Consent|10
01248034001|Consent|8
01248061501|Consent|4.5
01248064001|Consent|80
01248064201|Consent|6
01248064501|Consent|5
01248064601|Consent|180
01248064701|Consent|25
01301000101|Consent|12
01313000101|Consent|7
01325011101|Consent|6
01325011201|Consent|5
01344034401|Consent|210
01345007501|Consent|5
01345008001|Consent|15
01345012301|Consent|5
01345017201|Consent|400
01345023301|Consent|60
01345035101|Consent|45
01345038001|Consent|10
01345038101|Consent|10
01345041801|Consent|15
01345061001|Consent|35
01345062501|Consent|12
01345063401|Consent|3
01345064101|Consent|10
01345065601|Consent|5
01345065602|Consent|100
01345065801|Consent|16.3
01345065901|Consent|200
01345066001|Consent|10
01345066201|Consent|20
01345066301|Consent|4
01345066302|Consent|24
01345066303|Consent|24
01345066401|Consent|5
01345066501|Consent|10
01345066701|Consent|20
01345067001|Consent|32
01345067101|Consent|15
01345067301|Consent|20
01345067401|Consent|15
01345067501|Consent|350
01345067601|Consent|150
01345067701|Consent|40
01345067801|Consent|8
01352059702|Consent|200
01352059801|Consent|10
01353041201|Consent|10
01353066601|Consent|10
01353066701|Consent|140
01353066901|Consent|10
01353067101|Consent|10
01353067201|Consent|7
01353067301|Consent|10
01358056501|Consent|300
01365035301|Consent|22
01372018601|Consent|7
01372054001|Consent|15
01372065901|Consent|15
01399009701|Consent|60
02110000101|Consent|75
02110000102|Consent|10
02110000103|Consent|10
02110000105|Consent|100
02110000107|Consent|50
02110000108|Consent|240
02110000301|Consent|3
02110076501|Consent|5
02110076601|Consent|58
02117021001|Consent|25
02117031401|Consent|5
02117034601|Consent|10
02117038201|Consent|10
02117041101|Consent|9.1
02117044901|Consent|60
02117079701|Consent|10
02117080301|Consent|60
02117081701|Consent|30
02117082001|Consent|25
02117082101|Consent|350
02117083001|Consent|40
02117087101|Consent|150
02117090001|Consent|15
02117090401|Consent|15
02117090901|Consent|4
02117091001|Consent|20
