14KC138652|831241469||||0|1
6085285|834002170||||0|1
9078697|249002308||||0|1
9242208|434002056||||0|1
14JB061072|583079993||||0|1
14BU077093|831036998||||0|1
14JB035710|831037797||||0|1
7020242|124002464||||0|1
14JB010699|541002651||||0|1
11XF146842|434003374||||0|1
15XF023231í|719002438||||0|1
6804762|799002028||||0|1
12002136|109002032||||0|1
14KD030319|831141803||||0|1
12KD124055|152021413||||0|1
6412070609|406004783||||0|1
15KE023906|225002543||||0|1
12KC018918|123002350||||0|1
95016171 1|406002196||||0|1
97386416|406002190||||0|1
12KC122600|303002315||||0|1
13XF027240|303002309||||0|1
11JB029719|961002280||||0|1
14KE023907|583079832||||0|1
3087907|152032278||||0|1
14KD111666|908064919||||0|1
96002332|583036393||||0|1
13XF109668|225002370||||0|1
14KD095154|831242485||||0|1
14KD161292|853002225||||0|1
15JC035995|152025644||||0|1
1810412|831187639||||0|1
10LU053183|547110113||||0|1
12JB004108|303003145||||0|1
15BU025285|406003185||||0|1
15bu019334|406003256||||0|1
15BU025237|406003191||||0|1
11088848|547002047||||0|1
15BU038901|858002181||||0|1
13BU061409|152017216||||0|1
11KE091153|583121216||||0|1
97001558|225002368||||0|1
11XF146842|434003374||||0|1
14XF148497|406003391||||0|1
9175591|303002372||||0|1
11024647|303002132||||0|1
90010923|303003844||||0|1
15KD034440|303004847||||0|1
15JC027260|406004676||||0|1
96002191|406003457||||0|1
14KE091975|406003462||||0|1
14KD095420|303003007||||0|1
15KE023878|303004841||||0|1
99814056|225002714||||0|1
93000516 A|633002011||||0|1
91213833|406004576||||0|1
8021935|406004556||||0|1
14BU044349|601026411||||0|1
9047896|599002196||||0|1
105802|599002691||||0|1
14XF008569|678002218||||0|1
14KE120979|698002671||||0|1
10054073|599002174||||0|1
14KD095400|470003039||||0|1
7020239|664002111||||0|1
13KE078192|597002121||||0|1
14KC028885|156002138||||0|1
7003944|148116443||||0|1
11XG126127|999002004||||0|1
6184804|596002066||||0|1
13KD066315|100002205||||0|1
15JC002088|181002003||||0|1
13KE058277|596002127||||0|1
15X1049438|933002004||||0|1
6411069952|881002478||||0|1
14KC138148|406003561||||0|1
09KE253987|406004670||||0|1
97001558|225002368||||0|1
97541052|881003065||||0|1
10046349|583128545||||0|1
14JD096963|831046647||||0|1
15X1049438|933002004||||0|1
97385997 B|599002795||||0|1
92002070|599002198||||0|1
95014387|599002794||||0|1
970006671 B|599002671||||0|1
11004839|599002192||||0|1
09QA01115|599002749||||0|1
13XF027228|599002193||||0|1
11151888|599002142||||0|1
11059390A|599002143||||0|1
91024292|599002157||||0|1
1784715|599002621||||0|1
4588|737002018||||0|1
15JB032531|881003213||||0|1
13KE058261|607002490||||0|1
10057051|599002144||||0|1
4073823|151002066||||0|1
105802|599002691||||0|1
14XF031207|936002053||||0|1
04005272A|892002027||||0|1
15BU012710|744002009||||0|1
93001455|535002280||||0|1
99806487|406003808||||0|1
15XF035910|225002587||||0|1
9175591|303002372||||0|1
1456|510075635|41005|1|0
4478|434002763|44248|1|0
16761|434002153|43260|1|0
30447|434003276|43149|1|0
48687|434002608|48016|1|0
51458|434002621|48035|1|0
52246|601045017|44153|1|0
52255|198045485|44163|1|0
601898|434002812|44080|1|0
707832|831008635|102621|1|0
803277|385095447|43177|1|0
809889|434002159|43205|1|0
809910|434002762|44107|1|0
1000129|687002056|43300|1|0
1000245|601029211|102611|1|0
1007191|881003481|49007|1|0
1016681|385003359|102753|1|0
1017523|510085624|102905|1|0
1021329|385021828|102756|1|0
1022296|831032732|102837|1|0
1160264|831200719|102779|1|0
1200743|583067958|105034|1|0
1202252|510041000|105033|1|0
1585280|831017730|102656|1|0
1810411|881003485|45051|1|0
1925863|908062004|102924|1|0
2001492|583032987|46047|1|0
2010198|225002108|43243|1|0
2015709|225002287|42027|1|0
2020801|908039365|102869|1|0
2021195|831138921|104980|1|0
2076845|303002402|47035|1|0
2116632|831026888|102713|1|0
2126248|390002012|46071|1|0
2154413|650042914|102861|1|0
2164890|831036903|102553|1|0
2182316|831030780|102797|1|0
2192793|831060722|104982|1|0
2200749|547003554|102521|1|0
2209368|831019958|102547|1|0
2246114|434002789|44154|1|0
2298433|385087569|102843|1|0
2463603|385089953|102856|1|0
2561572|385019637|102755|1|0
3004182|547117033|105079|1|0
3010027|831034193|102736|1|0
3010516|225002200|45053|1|0
3013959|601075019|105028|1|0
3039411|434003090|45003|1|0
3152817|434002638|48011|1|0
3153132|831038116|102603|1|0
3154739|583046103|102524|1|0
3172890|831030622|102568|1|0
3175867|152027902|102824|1|0
3182432|703058652|102793|1|0
3183660|831017519|102539|1|0
