13JB056667|ACTARIS|5|METRICm3||22|M|2016-04-01|100|22||0|0|||RADIO INTERNAL RSN: 130894675-208 - RSN: 130894675-208 PROPERTY TYPE: COMMERCIAL LOCATION: METER CUPBOARD|413619.0|290708.0|RADIO INTERNAL RSN: 130894675-208 - RSN: 130894675-208 PROPERTY TYPE: COMMERCIAL LOCATION: METER CUPBOARD|O|POTABLE|I|0||1|2WRAD|130894675-208|RADIAN 2way radio|||NEW VISITORS CENTRE|CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
96002113|KENTMETERS|6|METRICm3||80|M|2016-04-01|100|80||0|0|||EXTERNAL CHAMBER IN METER CHAMBER IN CAR PARK LHS OF BLOCK I SP1286990616|||||POTABLE|O|0||0||||||Z/D BLOCK & FACTORY|CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
98311753|KENTMETERS|4|METRICm3||22|M|2002-08-03|100|22||0|0|411087.0|249563.0|BOUNDARY BOX FARM HOUSES & 2COTTAGES ULLINGTON       R.S. OUTSIDE BRICK HOUSE BY FIRE HYDRANT. BICKMARSH FM LODGE|||||POTABLE|O|0||0||||||BICKMARSH HALL FARM|HONEYBOURNE ROAD|||BIDFORD-ON-AVON|ALCESTER|B50 4PE|
14XF094639|SCHLUMBERGER|5|METRICm3||50|M|2014-08-21|100|50||0|0|413620.0|290984.0|BOUNDARY BOX CHELLO FITTED AND RADIO READ REMOVED|413620.0|290984.0|BOUNDARY BOX CHELLO FITTED AND RADIO READ REMOVED|O|POTABLE|O|0||1|2WRAD|Unavailable|RADIAN 2way radio||||CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
14XL121026|SCHLUMBERGER|6|METRICm3||100|M|2016-04-01|100|100||0|0|||EXTERNAL CHAMBER IRON LID BY GHOUSE,GATES BY ISLAND OUTREADER IN BB BY LID|||||POTABLE|O|0||0||||||A BLOCK & FACTORY|CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
04843785|SOCAMOUSSON|4|METRICm3||15|B|2002-05-29|100|15||0|0|393211.0|224387.0|EXTERNAL CHAMBER SO9321124387. L2 MTR IN RH PIT FACING UNIT 6|||||POTABLE|O|0||0||||||4 MANOR PARK BUSINESS CENTRE|MACKENZIE WAY|||SWINDON|CHELTENHAM|GL51 9TX|
99818426|UNKNOWN|5|METRICm3||42|M|2016-04-01|100|42||0|0|||INTERNAL VISUAL IN B BLOCK NEXT 2 OFFICE|||||POTABLE|I|0||0||||||B BLOCK|CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
