01AA703372|SCHLUMBERGER|3005025578S14
86940622|KENTMETERS|3005025640W16
03571612|SOCAMOUSSON|3005025675W18
96178360|KENTMETERS|3005025756W14
08AC027125|ARAD|3005025810S13
00009046|KENTMETERS|3005025861W12
02A264325|KENT|3005025888S14
01AU185742|SCHLUMBERGER|3005025896S11
16MA200952|ACTARIS|3005025926W14
99AQ451906|SCHLUMBERGER|3005026035S15
08AC500534|ARAD|3005026140S13
05711011|PONTAMOUSSON|3005026337W10
01AA702384|SCHLUMBERGER|300502637XS17
07007682|ARAD|300502654XS17
15BU073557|SCHLUMBERGER|3005026558W17
01AU182771|SCHLUMBERGER|3005026655S15
02AU204951|SCHLUMBERGER|3005026833S12
13AC025619|ARAD|3005026906S11
06WM116647|WATEAU|3005026930S13
07039500|ARAD|3005027015S15
07019936|ARAD|3005027104S19
00004194|KENTMETERS|3005027228W17
99049642|KENTMETERS|3005027287W10
04063138|UNKNOWN|3005027414W11
04130181|SOCAMOUSSON|3005027562W19
15MA241634|ACTARIS|3005027600W16
03678579|SOCAMOUSSON|3005027643W15
02174117|SOCAMOUSSON|3005027805W18
07022419|ARAD|3005027910S13
15MA004626|ACTARIS|3005027937W10
01TH015470|SCHLUMBERGER|3005027953S12
09001053|ACTARIS|3005028038W17
04IL1F003854|WATEAU|3005028062S16
09AC00059216|ARAD|300502816XS17
15M567694|ELSTER|3005028305S15
2007127668|SMARTMETER|3005028585W18
01AU184265|SCHLUMBERGER|3005028593S12
14AC017866|ARAD|3005028623S12
05IL1F009923|WATEAU|3005028658S14
94PB010314|SCHLUMBERGER|3005028666S11
08076727|UNKNOWN|3005028763W15
83140399|KENT|300502878XS17
13AC000032|ARAD|3005028860S13
15M600186|ELSTER|300502914XS17
05WM078234|WATEAU|3005029212S16
00SA200857|SCHLUMBERGER|3005029239S10
00SA200516|SCHLUMBERGER|300502928XS17
00AL047816|SCHLUMBERGER|3005029409S10
01M148844|SCHLUMBERGER|3005029646S11
09AI0027|TAGUS|3005029654S19
09AC00059287|ARAD|3005029700S13
09AC00066586|ARAD|3005029735S15
07502386|ARAD|3005029956S11
06IL1F015002|WATEAU|3005030148S14
82491961|KENT|3005030164S19
10AI00001370|ARAD|3005030326S11
02PE007071|SCHLUMBERGER|300503044XS17
02AA564793|SCHLUMBERGER|3005030504S19
02AA564794|SCHLUMBERGER|3005030504S19
99AQ511786|SCHLUMBERGER|3005030512S16
07017601|ARAD|3005030628S14
07017604|ARAD|3005030636S11
99AQ508494|SCHLUMBERGER|3005030695S15
07021305|ARAD|300503075XS17
01AU314198|SCHLUMBERGER|3005030792S16
98M073661|KENT|3005030857S18
99AQ508386|SCHLUMBERGER|3005031322S16
08AI0668|TAGUS|3005031349S10
05WM078236|WATEAU|3005031373S12
12BU048842|SCHLUMBERGER|3005031705W18
07019815|ARAD|3005031721S1X
10AI003438|ARAD|300503190XS17
03UF006845|SCHLUMBERGER|3005032280S13
03AA580318|SCHLUMBERGER|3005032329S10
99WTF10464|SCHLUMBERGER|3005032345S15
16MU078406|ACTARIS|3005032396W14
11AC015853|ARAD|3005032477S18
99AQ468708|SCHLUMBERGER|3005032612S16
00AM061733|SCHLUMBERGER|3005032663S12
98M149230|KENT|3005032957S18
11AC003036|ARAD|300503299XS17
01AU188954|SCHLUMBERGER|3005033139S10
06WM124486|WATEAU|3005033155S15
08AC003980|ARAD|3005033295S15
03PE007507|SCHLUMBERGER|3005033309S10
00AM012168|SCHLUMBERGER|3005033325S15
01AA704571|SCHLUMBERGER|3005033384S19
10AC013064|ARAD|3005033406S11
10AC013063|ARAD|3005033414S19
02AA566313|SCHLUMBERGER|3005033511S1X
07086265|SCHLUMBERGER|3005033546W14
01AA704222|SCHLUMBERGER|3005033562S16
08AC040944|ARAD|300503366XS17
99AQ43387|SCHLUMBERGER|3005033694S19
99AQ468642|SCHLUMBERGER|3005033732S16
02AA563679|SCHLUMBERGER|3005033767S18
08AC029340|ARAD|3005033775S15
07022198|ARAD|3005034208S14
10AI002776|ARAD|3005034283S12
02AU150824|SCHLUMBERGER|3005034348S14
02AU162288|SCHLUMBERGER|3005034380S13
16MA081918|ACTARIS|3005034437W10
97476843|KENTMETERS|300503450XW1X
02AU168375|SCHLUMBERGER|3005034690S13
01898402|SOCAMOUSSON|3005034801W12
16M256117|ELSTER|3005034852S16
15M317932|ELSTER|3005034860S13
12AC026261|ARAD|3005035018S14
09AC00065764|ARAD|3005035026S11
10AI002635|ARAD|3005035034S19
40AL026176|SCHLUMBERGER|3005035069S10
11AC019063|ARAD|3005035085S15
02AU151034|SCHLUMBERGER|3005035123S12
11AC016357|ARAD|3005035131S1X
07036205|ARAD|300503514XS17
02AU157789|SCHLUMBERGER|3005035158S14
09AI00006705|ARAD|3005035166S11
09AI00006785|ARAD|3005035344S19
99PA220477|SCHLUMBERGER|3005035379S10
99041949|KENTMETERS|3005035441W12
11AC008637|ARAD|300503545XS17
08186648|SCHLUMBERGER|3005035530W16
13AC012923|ARAD|3005035646S11
07015722|ARAD|3005035670S13
14M581426|ELSTER|3005035832S16
02AU206453|SCHLUMBERGER|3005035999S10
04IL1F005642|WATEAU|3005036057S18
01AA707596|SCHLUMBERGER|3005036065S15
05WM078093|WATEAU|3005036073S12
03WM010556|WATEAU|3005036081S1X
99AQ508339|SCHLUMBERGER|3005036103S12
99AQ478246|SCHLUMBERGER|3005036111S1X
02AU159990|SCHLUMBERGER|300503612XS17
15M606701|ELSTER|3005036138S14
13AI001642|ARAD|3005036146S11
09AI00005052|ARAD|3005036154S19
10AI002754|ARAD|3005036162S16
04IL1F005357|WATEAU|3005036162S16
09AI0400|TAGUS|3005036189S10
13AI001704|ARAD|3005036197S18
12AI003753|ARAD|3005036200S13
07036248|ARAD|3005036219S10
02AU195408|SCHLUMBERGER|3005036383S12
02AU162282|SCHLUMBERGER|3005036413S12
F04XA334679|WATEAU|3005036456S11
02AU155253|SCHLUMBERGER|3005036472S16
02AU200341|SCHLUMBERGER|3005036618S14
05WM086924|WATEAU|3005036723S12
13AI001853|ARAD|3005036731S1X
01903802|SOCAMOUSSON|3005036804W11
07022420|ARAD|3005036820S13
07019616|ARAD|3005036839S10
01AA703370|SCHLUMBERGER|300503688XS17
00AL058063|SCHLUMBERGER|3005036944S19
