225002573|1|We notify customer of distruption in advance|0|Y
225002575|1|We supply customer with a tanker of water|0|Y
225002581|1|We ensure portable drinking water is available|0|Y
225002583|1|We notify customer of distruption in advance|0|Y
225002590|1|We supply customer with a tanker of water|0|Y
225002594|1|We ensure portable drinking water is available|0|Y
225002596|1|We notify customer of distruption in advance|0|Y
225002597|1|We supply customer with a tanker of water|0|Y
225002598|1|We ensure portable drinking water is available|0|Y
225002599|1|We notify customer of distruption in advance|0|Y
225002600|1|We supply customer with a tanker of water|0|Y
225002601|1|We ensure portable drinking water is available|0|Y
225002602|1|We notify customer of distruption in advance|0|Y
225002603|1|We supply customer with a tanker of water|0|Y
225002604|1|We ensure portable drinking water is available|0|Y
225002605|1|We notify customer of distruption in advance|0|Y
225002607|1|We ensure portable drinking water is available|0|Y
225002609|1|We notify customer of distruption in advance|0|Y
225002612|1|We supply customer with a tanker of water|0|Y
225002613|1|We ensure portable drinking water is available|0|Y
225002617|1|We notify customer of distruption in advance|0|Y
225002618|1|We supply customer with a tanker of water|0|Y
225002619|1|We ensure portable drinking water is available|0|Y
225002620|1|We notify customer of distruption in advance|0|Y
225002621|1|We supply customer with a tanker of water|0|Y
225002622|1|We ensure portable drinking water is available|0|Y
225002626|1|We supply customer with a tanker of water|0|Y
225002634|1|We ensure portable drinking water is available|0|Y
225002635|1|We notify customer of distruption in advance|0|Y
225002636|1|We supply customer with a tanker of water|0|Y
225002637|1|We ensure portable drinking water is available|0|Y
225002638|1|We notify customer of distruption in advance|0|Y
225002640|1|We supply customer with a tanker of water|0|Y
225002643|1|We ensure portable drinking water is available|0|Y
225002646|1|We notify customer of distruption in advance|0|Y
225002650|1|We supply customer with a tanker of water|0|Y
225002651|1|We ensure portable drinking water is available|0|Y
225002652|1|We notify customer of distruption in advance|0|Y
225002653|1|We supply customer with a tanker of water|0|Y
225002671|1|We ensure portable drinking water is available|0|Y
225002675|1|We notify customer of distruption in advance|0|Y
225002677|1|We supply customer with a tanker of water|0|Y
225002681|1|We ensure portable drinking water is available|0|Y
225002683|1|We notify customer of distruption in advance|0|Y
225002685|1|We supply customer with a tanker of water|0|Y
225002688|1|We ensure portable drinking water is available|0|Y
225002690|1|We supply customer with a tanker of water|0|Y
225002695|1|We ensure portable drinking water is available|0|Y
225002703|1|We notify customer of distruption in advance|0|Y
225002768|1|We supply customer with a tanker of water|0|Y
225002829|1|We ensure portable drinking water is available|0|Y
230002011|1|We notify customer of distruption in advance|0|Y
235002008|1|We supply customer with a tanker of water|0|Y
235002031|1|We ensure portable drinking water is available|0|Y
236002016|1|We notify customer of distruption in advance|0|Y
236002211|1|We supply customer with a tanker of water|0|Y
236002646|1|We ensure portable drinking water is available|0|Y
237002003|1|We notify customer of distruption in advance|0|Y
243002010|1|We supply customer with a tanker of water|0|Y
249002015|1|We ensure portable drinking water is available|0|Y
250002234|1|We supply customer with a tanker of water|0|Y
252002229|1|We ensure portable drinking water is available|0|Y
258002006|1|We notify customer of distruption in advance|0|Y
260002181|1|We supply customer with a tanker of water|0|Y
261002002|1|We ensure portable drinking water is available|0|Y
266002018|1|We notify customer of distruption in advance|0|Y
266002141|1|We supply customer with a tanker of water|0|Y
267002006|1|We ensure portable drinking water is available|0|Y
267002007|1|We notify customer of distruption in advance|0|Y
269002006|1|We supply customer with a tanker of water|0|Y
269002024|1|We notify customer of distruption in advance|0|Y
272002005|1|We supply customer with a tanker of water|0|Y
277002004|1|We ensure portable drinking water is available|0|Y
281002008|1|We notify customer of distruption in advance|0|Y
286002186|1|We supply customer with a tanker of water|0|Y
289002233|1|We ensure portable drinking water is available|0|Y
291002276|1|We notify customer of distruption in advance|0|Y
299002054|1|We supply customer with a tanker of water|0|Y
299002307|1|We ensure portable drinking water is available|0|Y
302002279|1|We notify customer of distruption in advance|0|Y
303002024|1|We supply customer with a tanker of water|0|Y
303002039|1|We ensure portable drinking water is available|0|Y
303002040|1|We notify customer of distruption in advance|0|Y
303002182|1|We supply customer with a tanker of water|0|Y
303002411|1|We ensure portable drinking water is available|0|Y
303002412|1|We notify customer of distruption in advance|0|Y
303002414|1|We supply customer with a tanker of water|0|Y
303002451|1|We ensure portable drinking water is available|0|Y
303002470|1|We notify customer of distruption in advance|0|Y
303002476|1|We supply customer with a tanker of water|0|Y
303002541|1|We ensure portable drinking water is available|0|Y
303003174|1|We notify customer of distruption in advance|0|Y
303003181|1|We supply customer with a tanker of water|0|Y
303003292|1|We ensure portable drinking water is available|0|Y
303003303|1|We notify customer of distruption in advance|0|Y
303003351|1|We supply customer with a tanker of water|0|Y
303003365|1|We ensure portable drinking water is available|0|Y
303003372|0||1|Y
303003409|0||1|Y
303003414|0||1|Y
303003426|0||1|Y
303003431|0||1|Y
303003434|0||1|Y
303003449|0||1|Y
303003450|0||1|Y
303003453|0||1|Y
303003459|0||1|Y
303003473|0||1|Y
303003478|0||1|Y
303003497|0||1|Y
303003520|0||1|Y
303003540|0||1|Y
303003803|0||1|Y
303003804|0||1|Y
303004076|0||1|Y
303004077|0||1|Y
303004114|0||1|Y
303004145|0||1|Y
303004228|0||1|Y
303004230|0||1|Y
303004285|0||1|Y
303004485|0||1|Y
303004566|0||1|Y
303004621|0||1|Y
303004654|0||1|Y
303004690|0||1|Y
303004693|0||1|Y
303004735|0||1|Y
303004759|0||1|Y
303004952|0||1|Y
307002033|0||1|Y
313002009|0||1|Y
316002006|0||1|Y
316002007|0||1|Y
316002009|0||1|Y
323002016|0||1|Y
324002013|0||1|Y
325002020|0||1|Y
326002023|0||1|Y
326002564|0||1|Y
329002007|0||1|Y
330002002|0||1|Y
330002098|0||1|Y
332002218|0||1|Y
333002254|0||1|Y
339002082|0||1|Y
343002007|0||1|Y
343002434|0||1|Y
353002006|0||1|Y
356002044|0||1|Y
361002005|0||1|Y
369002003|0||1|Y
369002199|0||1|Y
374002008|0||1|Y
374002009|0||1|Y
380002152|0||1|Y
383002011|0||1|Y
383002014|0||1|Y
383002353|0||1|Y
384002035|0||1|Y
385003196|0||1|Y
385005758|0||1|Y
385010246|0||1|Y
385010249|0||1|Y
385010294|0||1|Y
385010891|0||1|Y
385012784|0||1|Y
385018098|0||1|Y
385019261|0||1|Y
385019409|0||1|Y
385021763|0||1|Y
385021997|0||1|Y
385022194|0||1|Y
385022756|0||1|Y
385024098|0||1|Y
385026979|0||1|Y
385027121|0||1|Y
385032181|0||1|Y
385036205|0||1|Y
385036604|0||1|Y
385037617|0||1|Y
385037677|0||1|Y
385039629|0||1|Y
385039636|0||1|Y
385039731|0||1|Y
385041984|0||1|Y
385049744|0||1|Y
385057503|0||1|Y
385063707|0||1|Y
385065180|0||1|Y
385070896|0||1|Y
385078221|0||1|Y
385078257|0||1|Y
385085352|0||1|Y
385086848|0||1|Y
385091629|0||1|Y
385095903|0||1|Y
385095904|0||1|Y
385096093|0||1|Y
385102219|0||1|Y
388002174|0||1|Y
390002259|0||1|Y
396002052|0||1|Y
402002004|0||1|Y
406002017|0||1|Y
406002018|0||1|Y
406002057|0||1|Y
406002081|0||1|Y
406002103|0||1|Y
406002116|0||1|Y
406002143|0||1|Y
406002175|0||1|Y
406002206|0||1|Y
406002217|0||1|Y
406002218|0||1|Y
406002224|0||1|Y
406002272|0||1|Y
406002292|0||1|Y
406002293|0||1|Y
406002542|0||1|Y
406002579|0||1|Y
406002590|0||1|Y
406002606|0||1|Y
406002815|0||1|Y
406002981|0||1|Y
406003068|0||1|Y
406003302|0||1|Y
406003328|0||1|Y
406003330|0||1|Y
406003349|0||1|Y
406003399|0||1|Y
406003425|0||1|Y
406003447|0||1|Y
406003479|0||1|Y
406003486|0||1|Y
406003508|0||1|Y
406003511|0||1|Y
406003565|0||1|Y
406003581|0||1|Y
406003604|0||1|Y
406003630|0||1|Y
406003643|0||1|Y
406003662|0||1|Y
406003866|0||1|Y
406004089|0||1|Y
406004147|0||1|Y
406004386|0||1|Y
406004393|0||1|Y
406004409|0||1|Y
406004440|0||1|Y
406004566|0||1|Y
406004593|0||1|Y
406004594|0||1|Y
406004705|0||1|Y
406004737|0||1|Y
406004748|0||1|Y
406004768|0||1|Y
406004794|0||1|Y
409002108|0||1|Y
410002004|0||1|Y
419002084|0||1|Y
420002002|0||1|Y
421002020|0||1|Y
422002057|0||1|Y
433002014|0||1|Y
434002040|0||1|Y
434002137|0||1|Y
434002174|0||1|Y
434002194|0||1|Y
434002318|0||1|Y
434002423|0||1|Y
434002512|0||1|Y
434002524|0||1|Y
434002529|0||1|Y
434002532|0||1|Y
434002571|0||1|Y
434002572|0||1|Y
434002629|0||1|Y
434002654|0||1|Y
434002681|0||1|Y
434002690|0||1|Y
434002706|0||1|Y
434002733|0||1|Y
434002777|0||1|Y
434003109|0||1|Y
434003137|0||1|Y
434003156|0||1|Y
434003172|0||1|Y
434003173|0||1|Y
434003178|0||1|Y
434003212|0||1|Y
434003226|0||1|Y
434003234|0||1|Y
434003247|0||1|Y
434003260|0||1|Y
434003262|0||1|Y
434003268|0||1|Y
434003291|0||1|Y
434003332|0||1|Y
434003388|0||1|Y
434003401|0||1|Y
434003420|0||1|Y
434003425|0||1|Y
434003439|0||1|Y
434003460|0||1|Y
434003512|0||1|Y
434003539|0||1|Y
434003563|0||1|Y
434003575|0||1|Y
434003593|0||1|Y
434003602|0||1|Y
434003747|0||1|Y
437002006|0||1|Y
437002007|0||1|Y
440002006|0||1|Y
443002008|0||1|Y
446002010|0||1|Y
453002014|0||1|Y
456002168|0||1|Y
458002006|0||1|Y
459002023|0||1|Y
460002312|0||1|Y
461002200|0||1|Y
466002007|0||1|Y
467002022|0||1|Y
470003794|0||1|Y
471002006|0||1|Y
476002005|0||1|Y
483002003|0||1|Y
491002010|0||1|Y
495002004|0||1|Y
498002005|0||1|Y
501002006|0||1|Y
507002000|0||1|Y
509002201|0||1|Y
510008626|0||1|Y
510042474|0||1|Y
510043507|0||1|Y
510044115|0||1|Y
510059342|0||1|Y
510075744|0||1|Y
510085903|0||1|Y
510086325|0||1|Y
510096246|0||1|Y
513002006|0||1|Y
513002007|0||1|Y
518002014|0||1|Y
518002019|0||1|Y
520002009|0||1|Y
522002001|0||1|Y
525002002|0||1|Y
527002216|0||1|Y
528002153|0||1|Y
529002016|0||1|Y
529002017|0||1|Y
530002225|0||1|Y
534002010|0||1|Y
535002012|0||1|Y
535002122|0||1|Y
535002168|0||1|Y
535002174|0||1|Y
535002346|0||1|Y
536231205|0||1|Y
539002058|0||1|Y
541002039|0||1|Y
543002005|0||1|Y
547002674|0||1|Y
547004356|0||1|Y
547006608|0||1|Y
547009115|0||1|Y
547021767|0||1|Y
547035305|0||1|Y
547035814|0||1|Y
547039048|0||1|Y
547039822|0||1|Y
547041686|0||1|Y
547054759|0||1|Y
547062392|0||1|Y
547078897|0||1|Y
547083242|0||1|Y
547088924|0||1|Y
547106487|0||1|Y
547109795|0||1|Y
547114705|0||1|Y
547114706|0||1|Y
547114707|0||1|Y
550002238|0||1|Y
556002008|0||1|Y
559002100|0||1|Y
563002003|0||1|Y
581002130|0||1|Y
581003806|0||1|Y
583002706|0||1|Y
583004828|0||1|Y
583007880|0||1|Y
583018411|0||1|Y
583026182|0||1|Y
583029409|0||1|Y
583036209|0||1|Y
583036242|0||1|Y
583054152|0||1|Y
583055843|0||1|Y
583078510|0||1|Y
583078514|0||1|Y
583078672|0||1|Y
583105124|0||1|Y
583106072|0||1|Y
588002007|0||1|Y
590002002|0||1|Y
596002075|0||1|Y
596002127|0||1|Y
596002150|0||1|Y
596002231|0||1|Y
596002232|0||1|Y
596002252|0||1|Y
596002695|0||1|Y
598201368|0||1|Y
599002006|0||1|Y
599002024|0||1|Y
599002045|0||1|Y
599002055|0||1|Y
599002056|0||1|Y
599002057|0||1|Y
599002079|0||1|Y
599002096|0||1|Y
599002123|0||1|Y
599002126|0||1|Y
599002128|0||1|Y
599002148|0||1|Y
599002166|0||1|Y
599002204|0||1|Y
599002223|0||1|Y
599002267|0||1|Y
599002286|0||1|Y
599002305|0||1|Y
599002318|0||1|Y
599002326|0||1|Y
599002353|0||1|Y
599002392|0||1|Y
599002396|0||1|Y
599002397|0||1|Y
599002455|0||1|Y
599002479|0||1|Y
599002568|0||1|Y
599002628|0||1|Y
599002630|0||1|Y
599002631|0||1|Y
599002663|0||1|Y
599002688|0||1|Y
599002754|0||1|Y
599002797|0||1|Y
599002814|0||1|Y
599002826|0||1|Y
599002828|0||1|Y
599002829|0||1|Y
599002830|0||1|Y
599002833|0||1|Y
599002834|0||1|Y
599002835|0||1|Y
599002837|0||1|Y
599002841|0||1|Y
599002843|0||1|Y
599002844|0||1|Y
599002846|0||1|Y
599002847|0||1|Y
599002853|0||1|Y
599002854|0||1|Y
599002855|0||1|Y
599002857|0||1|Y
599002862|0||1|Y
599002863|0||1|Y
599002864|0||1|Y
599002868|0||1|Y
