1NWE-MD009-BAND10|01-APR-16|31-MAR-17|1NWE-MD009: UU Drainage Site Area-SWD/HD for Band 10|Active||Test|SW
1NWE-MD009-BAND11|01-APR-16|31-MAR-17|1NWE-MD009: UU Drainage Site Area-SWD/HD for Band 11|Active||Test|SW
1NWE-MD009-BAND12|01-APR-16|31-MAR-17|1NWE-MD009: UU Drainage Site Area-SWD/HD for Band 12|Active||Test|SW
1NWE-MD009-BAND13|01-APR-16|31-MAR-17|1NWE-MD009: UU Drainage Site Area-SWD/HD for Band 13|Active||Test|SW
1NWE-MD009-BAND14|01-APR-16|31-MAR-17|1NWE-MD009: UU Drainage Site Area-SWD/HD for Band 14|Active||Test|SW
1NWE-MD009-BAND15|01-APR-16|31-MAR-17|1NWE-MD009: UU Drainage Site Area-SWD/HD for Band 15|Active||Test|SW
1NWE-MD011-BAND01|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 01|Active||Test|SW
1NWE-MD011-BAND02|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 02|Active||Test|SW
1NWE-MD011-BAND03|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 03|Active||Test|SW
1NWE-MD011-BAND04|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 04|Active||Test|SW
1NWE-MD011-BAND05|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 05|Active||Test|SW
1NWE-MD011-BAND06|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 06|Active||Test|SW
1NWE-MD011-BAND07|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 07|Active||Test|SW
1NWE-MD011-BAND08|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 08|Active||Test|SW
1NWE-MD011-BAND09|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 09|Active||Test|SW
1NWE-MD011-BAND10|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 10|Active||Test|SW
1NWE-MD011-BAND11|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 11|Active||Test|SW
1NWE-MD011-BAND12|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 12|Active||Test|SW
1NWE-MD011-BAND13|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 13|Active||Test|SW
1NWE-MD011-BAND14|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 14|Active||Test|SW
1NWE-MD011-BAND15|01-APR-16|31-MAR-17|1NWE-MD011: UU Drainage Site Area-SWD Only for Band 15|Active||Test|SW
1NWE-MD013-BAND01|01-APR-16|31-MAR-17|1NWE-MD013: Phased UU Drainage-Site Area for band 01|Active||Test|SW
1NWE-MD013-BAND02|01-APR-16|31-MAR-17|1NWE-MD013: Phased UU Drainage-Site Area for band 02|Active||Test|SW
1NWE-MD013-BAND03|01-APR-16|31-MAR-17|1NWE-MD013: Phased UU Drainage-Site Area for band 03|Active||Test|SW
1NWE-MD013-BAND04|01-APR-16|31-MAR-17|1NWE-MD013: Phased UU Drainage-Site Area for band 04|Active||Test|SW
1NWE-MD013-BAND05|01-APR-16|31-MAR-17|1NWE-MD013: Phased UU Drainage-Site Area for band 05|Active||Test|SW
1NWE-MD013-BAND06|01-APR-16|31-MAR-17|1NWE-MD013: Phased UU Drainage-Site Area for band 06|Active||Test|SW
1NWE-MD013-BAND07|01-APR-16|31-MAR-17|1NWE-MD013: Phased UU Drainage-Site Area for band 07|Active||Test|SW
